domain,sent,replies,reply_rate,category,action
itss-imannntvapp.com,405,0,0,REPLACE,Pause and replace
itss-imannntvpro.com,410,0,0,REPLACE,Pause and replace
teamitssimannntv.com,540,1,0.3,REPLACE,Pause and replace
getitssimannntv.com,1328,2,0.34,REPLACE,Pause and replace
itss-imannntv.com,411,1,0.42,REPLACE,Pause and replace
itss-imannntvzone.com,411,1,0.43,REPLACE,Pause and replace
itss-imannntvspace.com,410,1,0.45,REPLACE,Pause and replace
itss-imannntvsite.com,409,1,0.47,REPLACE,Pause and replace
itss-imannntvstudio.com,411,1,0.47,REPLACE,Pause and replace
smartitssimannntv.com,1161,4,0.74,REPLACE,Pause and replace
itss-imannntvcloud.com,408,2,0.8,REPLACE,Pause and replace
itss-imannntvonline.com,409,2,0.86,REPLACE,Pause and replace
itss-imannntv24.com,412,2,0.93,WATCH,Monitor closely
joinitss-imannntv.com,410,2,0.96,WATCH,Monitor closely
proitss-imannntv.com,411,8,3.77,KEEP,Continue
theitss-imannntv.com,411,7,3.17,KEEP,Continue
itss-imannntvweb.com,412,7,2.88,KEEP,Continue
goitssimannntv.com,1376,16,2.5,KEEP,Continue
goitss-imannntv.com,411,5,2.25,KEEP,Continue
itss-imannntvdigital.com,411,4,2.03,KEEP,Continue
proitssimannntv.com,1240,9,1.52,KEEP,Continue
itss-imannntv365.com,410,3,1.46,KEEP,Continue
itss-imannntvsolutions.com,409,3,1.38,KEEP,Continue
the365itss-imannntv.com,408,3,1.37,KEEP,Continue
helloitssimannntv.com,1048,7,1.36,KEEP,Continue
useitssimannntv.com,1456,8,1.23,KEEP,Continue
getitss-imannntv.com,410,3,1.23,KEEP,Continue
myitssimannntv.com,1432,7,1.07,KEEP,Continue
itssimannntv.com,137,1,1.37,TOO_EARLY,Wait for more data